name,default_value
"aggregation-operator-unspill-memory-limit","4MB"
"legacy.allow-set-view-authorization","false"
"concurrent-lifespans-per-task","0"
"dynamic-schedule-for-grouped-execution","false"
"exchange.compression-enabled","false"
"exchange.data-integrity-verification","ABORT"
"filter-and-project-min-output-page-row-count","256"
"filter-and-project-min-output-page-size","500kB"
"grouped-execution-enabled","false"
"hide-inaccessible-columns","false"
"incremental-hash-array-load-factor.enabled","true"
"experimental.late-materialization.enabled","false"
"deprecated.legacy-catalog-roles","false"
"deprecated.legacy-row-to-json-cast","false"
"analyzer.max-grouping-sets","2048"
"max-recursion-depth","10"
"memory-revoking-target","0.5"
"memory-revoking-threshold","0.9"
"deprecated.omit-datetime-type-precision","false"
"pages-index.eager-compaction-enabled","false"
"parse-decimal-literals-as-double","false"
"re2j.dfa-retries","5"
"re2j.dfa-states-limit","2147483647"
"redistribute-writes","true"
"regex-library","JONI"
"scale-writers","false"
"spill-enabled","false"
"spiller-max-used-space-threshold","0.9"
"spiller-spill-path","[]"
"spiller-threads","4"
"writer-min-size","32MB"
"event.max-output-stage-size","16MB"
"event-listener.config-files","[]"
"enable-coordinator-dynamic-filters-distribution","true"
"enable-dynamic-filtering","true"
"enable-large-dynamic-filters","false"
"dynamic-filtering.large-broadcast.max-distinct-values-per-driver","5000"
"dynamic-filtering.large-broadcast.max-size-per-driver","500kB"
"dynamic-filtering.large-broadcast.range-row-limit-per-driver","10000"
"dynamic-filtering.large-partitioned.max-distinct-values-per-driver","500"
"dynamic-filtering.large-partitioned.max-size-per-driver","50kB"
"dynamic-filtering.large-partitioned.range-row-limit-per-driver","1000"
"dynamic-filtering.service-thread-count","2"
"dynamic-filtering.small-broadcast.max-distinct-values-per-driver","200"
"dynamic-filtering.small-broadcast.max-size-per-driver","20kB"
"dynamic-filtering.small-broadcast.range-row-limit-per-driver","400"
"dynamic-filtering.small-partitioned.max-distinct-values-per-driver","20"
"dynamic-filtering.small-partitioned.max-size-per-driver","10kB"
"dynamic-filtering.small-partitioned.range-row-limit-per-driver","100"
"failure-injection.expiration-period","10.00m"
"failure-injection.request-timeout","2.00m"
"query.client.timeout","5.00m"
"fault-tolerant-execution-max-task-split-count","256"
"fault-tolerant-execution-min-task-split-count","16"
"fault-tolerant-execution-target-task-input-size","1GB"
"fault-tolerant-execution-target-task-split-count","16"
"fault-tolerant-execution-task-descriptor-storage-max-memory","161061274B"
"query.hash-partition-count","100"
"query.max-concurrent-queries","1000"
"query.max-history","100"
"query.max-length","1000000"
"query.max-queued-queries","5000"
"query.max-stage-count","100"
"query.min-expire-age","15.00m"
"query.min-schedule-split-batch-size","100"
"query.execution-policy","phased"
"query.manager-executor-pool-size","5"
"query.max-cpu-time","1000000000.00d"
"query.max-execution-time","100.00d"
"query.max-planning-time","10.00m"
"query.max-run-time","100.00d"
"query.max-scan-physical-bytes","----"
"query-retry-attempts","4"
"query.remote-task.max-callback-threads","1000"
"query.remote-task.max-error-duration","5.00m"
"query.remote-task.min-error-duration","5.00m"
"query-manager.required-workers","1"
"query-manager.required-workers-max-wait","5.00m"
"retry-initial-delay","10.00s"
"retry-max-delay","1.00m"
"retry-policy","NONE"
"query.schedule-split-batch-size","1000"
"query.stage-count-warning-threshold","50"
"task-retry-attempts-overall","2147483647"
"task-retry-attempts-per-task","2"
"task.client.timeout","2.00m"
"task.http-response-threads","100"
"task.http-timeout-threads","3"
"task.info.max-age","15.00m"
"task.info-update-interval","3.00s"
"task.initial-splits-per-node","12"
"task.level-time-multiplier","2"
"task.max-drivers-per-task","2147483647"
"task.max-index-memory","64MB"
"task.max-local-exchange-buffer-size","32MB"
"driver.max-page-partitioning-buffer-size","32MB"
"task.max-partial-aggregation-memory","16MB"
"task.max-partial-top-n-memory","16MB"
"task.max-worker-threads","12"
"task.min-drivers","24"
"task.min-drivers-per-task","3"
"task.per-operator-cpu-timer-enabled","true"
"task.share-index-loading","false"
"sink.max-broadcast-buffer-size","200MB"
"sink.max-buffer-size","32MB"
"task.split-concurrency-adjustment-interval","100.00ms"
"task.statistics-cpu-timer-enabled","true"
"task.status-refresh-max-wait","1.00s"
"task.concurrency","8"
"task.cpu-timer-enabled","true"
"task.task-notification-threads","5"
"task.task-yield-threads","3"
"task.writer-count","1"
"node-scheduler.include-coordinator","true"
"node-scheduler.max-absolute-full-nodes-per-query","2147483647"
